id_src,block_timestamp_src,event_index_src,extrinsic_index_src,phase_src,module_id_src,event_id_src,extrinsic_hash_src,finalized_src,dest_para_id,block_num_extracted,corr_id,id_dst,block_timestamp_dst,event_index_dst,extrinsic_index_dst,phase_dst,module_id_dst,event_id_dst,extrinsic_hash_dst,finalized_dst,dest_chain,source_chain,latency_s,cost,status
2170049700060,1721308146,21700497-60,21700497-3,0,xcmpallet,Sent,0x31160246f9cfdedd0cc3bedae47130713c5b1cc4e1a5c8639d7b7b9b7d411a25,True,1000.0,21700497,0xd88141bfa87ac5b6b28b0051fc8521cf9316c90a5d54284a965f5866d0c388e2,671326300004,1721308164,6713263-4,,2,messagequeue,Processed,0x6c286550b4bd73ec3ea7f65ed86ddc1a1f8c009575adec61c0ca69810d4e9eaf,True,assethub,polkadot,18,181667896,Success
2170043500054,1721307774,21700435-54,21700435-2,0,xcmpallet,Sent,0xc9610bda386555ad384245f12a2aa386052b1e072ad6fab046c0d387e04d73c0,True,1000.0,21700435,0x67290e2c5f08e67b0b5b47a8467a2a43454d8c36481ec89685ac649fb7de0a67,671323200004,1721307792,6713232-4,,2,messagequeue,Processed,0xb1fb193dc3cf83cda72a871c0e8811b6fe57f407da977140f6637f1b8addf11f,True,assethub,polkadot,18,181667896,Success
2170042700062,1721307726,21700427-62,21700427-3,0,xcmpallet,Sent,0xffccf0d9de44321783b036bc3a2c8b79f9f3d39a2d4ec5712ec0db0d48ff72b6,True,1000.0,21700427,0xac65e51a8f4394378723839985ebbca0cf5f9a696429ab2a33b048ebc89fe8c8,671322800003,1721307744,6713228-3,,2,messagequeue,Processed,0x16fa5d2b6687c7f68eaa866850bf66b034a8f605f50b305cde029f0706843f92,True,assethub,polkadot,18,182667896,Success
2169973400067,1721303538,21699734-67,21699734-3,0,xcmpallet,Sent,0x026115f5b1d2e247aeda950c7c9f5f54d0c3dad034b43ea7d3871007b76b90b5,True,1000.0,21699734,0xaa4148a52780d53ad76d0921f2782d780705b67bf4aad646f84bf65a5970fe29,671288300004,1721303550,6712883-4,,2,messagequeue,Processed,0x6bc8b4ce743573040039f0e4ef908125e4050b2d138f29a24ed8cf70fa6bf893,True,assethub,polkadot,12,182667896,Success
2169965900055,1721303082,21699659-55,21699659-2,0,xcmpallet,Sent,0xd7ec2faa3fe359f61642c1b8720e1b0fb6a51af8028fced3c5fbf2ff62860851,True,1000.0,21699659,0x12aa144655c82b50cece5410ad6bc3816083fa3dd5e7f85a315923510316c090,671284600004,1721303100,6712846-4,,2,messagequeue,Processed,0xa9d803e037c600187310a01a3bb3e648f59ea15da566641c21ca672824665322,True,assethub,polkadot,18,182667896,Success
2169964300055,1721302986,21699643-55,21699643-2,0,xcmpallet,Sent,0x05537f7267490cf9e35cdea76afecf6eea512b38423fc3b403a9ace1a538d999,True,1000.0,21699643,0xfef100d038019d1395a38389b697fce81968362e88686c42fc9c8c9ebba3697c,671283800004,1721303004,6712838-4,,2,messagequeue,Processed,0x2b31ed88ed855f6e6f466dc48f39dd2d28a892f9f0a12bea02e8af70a82159cc,True,assethub,polkadot,18,181667896,Success
2169961500053,1721302818,21699615-53,21699615-2,0,xcmpallet,Sent,0xb2e9a3c41f0b7357444124b74d2f1624b29dd0f0db34a25f31335837ee742b7c,True,1000.0,21699615,0x81f012c50d7261eda7b2b8c5d24e57d68f0ad4edca85d33fbd6768d4fecabf54,671282500004,1721302836,6712825-4,,2,messagequeue,Processed,0x9a66a34b4179d311846eb58cc0b3b9a509f8bc00b59dcded2ba9ca0fd7d4e7b1,True,assethub,polkadot,18,182667896,Success
2169944700052,1721301798,21699447-52,21699447-2,0,xcmpallet,Sent,0xe8986a6874e0b8842e0ef372238869b288cb7dc5979a41eebe52839c400ee8b8,True,1000.0,21699447,0x1077b2ae870dd5936cd1f876685d0e9621fa26fa3825130e6bff50221b327834,671274300004,1721301810,6712743-4,,2,messagequeue,Processed,0x6ffaa39a0669c5dbf14d10127635fa6b43a5878c3b03f5e28acdb4f54a5dd96c,True,assethub,polkadot,12,180667896,Success
2169942700062,1721301678,21699427-62,21699427-3,0,xcmpallet,Sent,0x2b579fb3dc3a07fcd20f76b05ad1397cd6c3f893271bae6ca3b6efe483742725,True,1000.0,21699427,0x06eaf3999479120b96736558d06c8688a1082b261abd1199b2c80560b5caa17b,671273300004,1721301690,6712733-4,,2,messagequeue,Processed,0x1c7ae779d318ffc8388aa4cae7f6f0b376756d29be63767641d6e82e098b37de,True,assethub,polkadot,12,181667896,Success
2169940200062,1721301528,21699402-62,21699402-3,0,xcmpallet,Sent,0xf7b759e0fbacc249058f5c488ab49d79ae7e36b67b69c5e4cafdc25cadce62bc,True,1000.0,21699402,0x61b3f7a7bd10c4d43c3c2e25e1c6cb9fafc2253779b0dd1557279caffc23b7f4,671272100006,1721301540,6712721-6,,2,messagequeue,Processed,0x78f2f06509cfdd21cae7bdd0847a56146af5ddafa374e6ddbb59f34b0530e720,True,assethub,polkadot,12,181667896,Success
2169894100075,1721298732,21698941-75,21698941-5,0,xcmpallet,Sent,0xb146325d5073901822e3edf28fdf68fdf8fcea9718a94e46d68ac379e414752b,True,1000.0,21698941,0x08c20d488594dd6caee6153b86c5b9e989cb0cdf626a88ad20d018f5b2cee695,671249300005,1721298750,6712493-5,,2,messagequeue,Processed,0xda5d2433950f3cdecf0867a7b7d0d49970588536607fb5fd41a9d9425331bd97,True,assethub,polkadot,18,181667896,Success
2169863200060,1721296878,21698632-60,21698632-3,0,xcmpallet,Sent,0xd7cb84de4c6aa1efca59d493929a875c91310a59529f5ca3bb405f1987298b5c,True,1000.0,21698632,0x9a9dc7e446018b98d2e5e553cb6a75767b5b149bcd608b7ac508e6b77509c833,671234000004,1721296890,6712340-4,,2,messagequeue,Processed,0x0ea35424c19140d612e9e24354629cd1d7b51f6069a302c6cbdbe50fad52b892,True,assethub,polkadot,12,182667896,Success
2169857800056,1721296554,21698578-56,21698578-2,0,xcmpallet,Sent,0x028fde556cd96a6efa546d21aff8e03a8d3da73318b21a40b3b3d133d046bb6f,True,1000.0,21698578,0xc464bc56e32e9baed61e7bdaf6ef06f2271a2bc08feb5f4380eefc44862eebe7,671231300006,1721296566,6712313-6,,2,messagequeue,Processed,0x73c5193168328274e23ae65dcf630c905ac5d54d92597e17bf139ead34643d08,True,assethub,polkadot,12,181667896,Success
2169822600075,1721294406,21698226-75,21698226-5,0,xcmpallet,Sent,0x7dcd3f5840f3a79ff8edd2b91d285a2fce1b88c3fb44ef6e98fac6ae19004c77,True,1000.0,21698226,0x643f4ba16dbbf11e66fd8e2e254e0478e0a226ff34b71513896d1748736b03c6,671213900004,1721294418,6712139-4,,2,messagequeue,Processed,0x5e67cfbd2bcdfecf076c34adf36a8abc6368574c482731b15665cc9e0879f9e6,True,assethub,polkadot,12,181667896,Success
